,utterance,intent
0,I want to buy the game Skyrim.,BuyGame
1,I'm interested in buying Grand Theft Auto V.,BuyGame
2,I'm looking to purchase Red Dead Redemption 2.,BuyGame
3,I want to buy a game. The title is The Witcher 3: Wild Hunt.,BuyGame
4,I want to buy Assassin's Creed Odyssey.,BuyGame
5,Can you help me purchase FIFA 22?,BuyGame
6,I'm interested in buying Cyberpunk 2077.,BuyGame
7,I want to get The Legend of Zelda: Breath of the Wild. How can I do that?,BuyGame
8,Where can I buy Overwatch?,BuyGame
9,I need to buy Call of Duty: Warzone.,BuyGame
10,Tell me how to purchase Halo Infinite.,BuyGame
11,I'm looking to buy Fortnite. Can you assist me?,BuyGame
12,I want to purchase Doom Eternal. Where can I do that?,BuyGame
13,I'm interested in buying Far Cry 6.,BuyGame
14,Guide me on purchasing Battlefield 2042.,BuyGame
15,I need to buy Among Us. How do I go about it?,BuyGame
16,Where can I get Genshin Impact? I want to buy it.,BuyGame
17,I'm thinking of buying Destiny Can you help?,BuyGame
18,I want to purchase The Witcher 3: Wild Hunt.,BuyGame
19,Where can I buy Grand Theft Auto V?,BuyGame
20,I'm interested in buying Red Dead Redemption 2.,BuyGame
21,Can you assist me with buying Animal Crossing: New Horizons?,BuyGame
22,I want to get my hands on Resident Evil Village. How can I buy it?,BuyGame
23,Tell me how to purchase Spider-Man: Miles Morales.,BuyGame
24,I need to buy Star Wars Jedi: Fallen Order. Where can I find it?,BuyGame
25,I'm thinking of buying Apex Legends. Can you help me?,BuyGame
26,I want to purchase Ghost of Tsushima.,BuyGame
27,Where can I buy Rainbow Six Siege?,BuyGame
28,I'm interested in buying The Last of Us Part II.,BuyGame
29,Can you assist me with buying World of Warcraft?,BuyGame
30,I need to buy Fortnite V-Bucks. Where can I do that?,BuyGame
31,Tell me how to purchase Apex Coins for Apex Legends.,BuyGame
32,I want to get my hands on the game Monster Hunter: World. How can I buy it?,BuyGame
33,I'm thinking of buying Rocket League. Can you help me?,BuyGame
34,I want to purchase Rainbow Six Siege credits.,BuyGame
35,Where can I buy Fallout 4?,BuyGame
36,I'm interested in buying Star Wars Battlefront II.,BuyGame
37,Can you assist me with buying Valorant Points for Valorant?,BuyGame
38,I need to buy Apex Legends skins. Where can I find them?,BuyGame
39,I want to get my hands on the game Nier: Automata. How can I buy it?,BuyGame
40,I'm thinking of buying World of Tanks gold. Can you help me?,BuyGame
41,I want to purchase Fallout: New Vegas. Where can I do that?,BuyGame
42,I'm interested in buying Battlefield V.,BuyGame
43,I need to buy Minecraft skins. Where can I find them?,BuyGame
44,Tell me how to purchase credits in Warframe.,BuyGame
45,I want to get my hands on the game Dark Souls III. How can I buy it?,BuyGame
46,I'm thinking of buying Apex Legends weapons. Can you help me?,BuyGame
47,I want to buy Star Wars: Squadrons.,BuyGame
48,Can you help me purchase Tom Clancy's Rainbow Six Extraction?,BuyGame
49,I'm interested in buying Borderlands 3.,BuyGame
50,I want to get my hands on the game Hitman How can I buy it?,BuyGame
51,Tell me how to purchase Apex Legends Battle Pass.,BuyGame
52,I'm thinking of buying Monster Hunter Rise. Can you help me?,BuyGame
53,Can you assist me with buying The Sims 4 expansion packs?,BuyGame
54,I'm interested in buying Watch Dogs: Legion.,BuyGame
55,I want to get my hands on the game Resident Evil How can I buy it?,BuyGame
56,I'm thinking of buying Injustice Can you help me?,BuyGame
57,Can you assist me with buying Apex Legends skins? I need some guidance.,BuyGame
58,I'm interested in buying Baldur's Gate 3.,BuyGame
59,I want to get my hands on the game Wasteland How can I buy it?,BuyGame
60,I'm thinking of buying Apex Legends weapons. Can you help me with that?,BuyGame
61,Can you assist me with buying Sea of Thieves? I'm ready to make a purchase.,BuyGame
62,I want to buy Starfield. Where can I get it?,BuyGame
63,Can you help me purchase Tom Clancy's The Division 2?,BuyGame
64,I want to get my hands on the game Marvel's Avengers. How can I buy it?,BuyGame
65,Tell me how to purchase Hitman 2.,BuyGame
66,I need to buy Star Wars: Jedi Fallen Order. Where can I find it?,BuyGame
67,Where can I buy Doom ?,BuyGame
68,I'm thinking of buying The Elder Scrolls V: Skyrim. Can you help me?,BuyGame
69,I want to purchase Far Cry Where can I do that?,BuyGame
70,Can you assist me with buying Resident Evil 7: Biohazard?,BuyGame
71,I need to buy Ghost Recon Breakpoint. Where can I find it?,BuyGame
72,Where can I buy Control?,BuyGame
73,I'm interested in buying Rainbow Six Quarantine. How can I buy it?,BuyGame
74,Tell me how to purchase Death Stranding.,BuyGame
75,I want to get my hands on the game Battlefield How can I buy it?,BuyGame
76,I'm thinking of buying Wolfenstein: Youngblood. Can you help me?,BuyGame
77,I want to purchase Nioh Where can I do that?,BuyGame
78,Can you assist me with buying Metro Exodus?,BuyGame
79,I need to buy Outer Worlds. Where can I find it?,BuyGame
80,Where can I buy Assassin's Creed Valhalla?,BuyGame
81,I'm interested in buying Cyber Shadow. How can I buy it?,BuyGame
82,Tell me how to purchase Hitman 3.,BuyGame
83,I want to get my hands on the game Mortal Kombat How can I buy it?,BuyGame
84,I'm thinking of buying Gears Can you help me?,BuyGame
85,I want to purchase Control: Ultimate Edition. Where can I do that?,BuyGame
86,Can you assist me with buying Star Wars: Battlefront II?,BuyGame
87,I need to buy Watch Dogs Where can I find it?,BuyGame
88,Where can I buy Dying Light 2?,BuyGame
89,I'm interested in buying The Outer Wilds. How can I buy it?,BuyGame
90,Tell me how to purchase Jedi: Fallen Order.,BuyGame
